2018-04-07,clang-7.0.0-329060
2018-07-10,clang-7.0.0-334104
# 2018-08-17,clang-8.0.0 (trunk 339414)
2018-11-01,clang-8.0.0-343298
# 2018-12-10,clang-8.0.0 (trunk 348261)
# 2018-12-21,clang-8.0.0 (trunk 349734)
# 2018-12-30,clang-8.0.0 (trunk 350161)
# 2019-02-02,clang-8.0.0 (trunk 350509)
# 2019-06-05,clang-9.0.0 (/home/glider/llvm/clang 06d00afa61eef8f7f501ebdb4e8612ea43ec2d78)
# 2019-07-01,clang-9.0.0 (/home/glider/llvm/clang 80fee25776c2fb61e74c1ecb1a523375c2500b69)
2019-07-14,clang-10.0.0-c2443155
2020-09-20,clang-11.0.0-ca2dcbd030
# 2021-01-14,clang-11.0.1
# 2021-02-02,clang-11.0.1-2
# 2021-09-04,clang-14.0.0 (git@github.com:llvm/llvm-project.git 0996585c8e3b3d409494eb5f1cad714b9e1f7fb5)
# 2021-12-13,clang-14.0.0 (/usr/local/google/src/llvm-git-monorepo 2b554920f11c8b763cd9ed9003f4e19b919b8e1f)
# 2022-06-13,clang-15.0.0 (https://github.com/llvm/llvm-project.git 9ffb5944a699b6a0d69c169ceff97636395ee30f)
# 2022-06-15,clang-15.0.0 (https://github.com/llvm/llvm-project.git 610139d2d9ce6746b3c617fb3e2f7886272d26ff)
