general protection fault in ucma_connect,https://syzkaller.appspot.com/bug?id=ae8f5829dcc7cff6145c012b746bafa494b144ee
Repository: linux
Arch: i386
Finding: 2018-03-15 - e2c15aff5f353ba80bd3bb49840837f65fa5cc43
Guilty:  2006-12-12 - 75216638572f53612304c05a374f0246fe1d16da
Duplicate Names:
    general protection fault in rdma_addr_size
    general protection fault in ucma_connect
VMs:4
CPUs:4
Procs:24
Max time:30
Max attempts:3
Testing the finding commit.

2023-06-17 14:28:16
Session:   1
Template:  2018-03-13 - 08dacaa0b938aa2951de182c1dfe1862ebe2a20c
Syzkaller: 2018-03-13 - 08dacaa0b938aa2951de182c1dfe1862ebe2a20c
Kernel:    2018-03-15 - e2c15aff5f353ba80bd3bb49840837f65fa5cc43
Compiler:  gcc-8.0.1-20180301
Attempt 1:
    Time  Bug Name
       2  general protection fault in rdma_init_qp_attr
       2  general protection fault in rdma_join_multicast
       3  general protection fault in rdma_init_qp_attr
       4  general protection fault in rdma_init_qp_attr
       4  no output from test machine
       4  no output from test machine
       5  general protection fault in rdma_listen
       5  general protection fault in rdma_init_qp_attr
       5  general protection fault in rdma_init_qp_attr
       5  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  no output from test machine
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_join_multicast
       9  general protection fault in rdma_init_qp_attr
       9  general protection fault in rdma_init_qp_attr
       9  general protection fault in rdma_init_qp_attr
       9  general protection fault in rdma_init_qp_attr
      10  general protection fault in rdma_init_qp_attr
      10  no output from test machine
      11  general protection fault in rdma_init_qp_attr
      11  general protection fault in rdma_init_qp_attr
      11  general protection fault in rdma_init_qp_attr
      11  general protection fault in cma_comp_exch
      12  general protection fault in rdma_init_qp_attr
***   13  general protection fault in rdma_addr_size
      13  general protection fault in rdma_init_qp_attr
      13  general protection fault in rdma_init_qp_attr
      13  no output from test machine
Attempt 2:
    Time  Bug Name
       5  INFO: task hung in ucma_destroy_id
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  no output from test machine
       6  no output from test machine
       6  no output from test machine
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
       7  general protection fault in rdma_init_qp_attr
***    8  general protection fault in ucma_connect
       8  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_init_qp_attr
       8  general protection fault in rdma_init_qp_attr
Attempt 3:
    Time  Bug Name
       2  general protection fault in rdma_init_qp_attr
       3  general protection fault in rdma_init_qp_attr
       5  general protection fault in rdma_init_qp_attr
       5  no output from test machine
       5  no output from test machine
       5  no output from test machine
       6  general protection fault in rdma_destroy_id
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
       6  general protection fault in rdma_init_qp_attr
