1,WARNING in mmu_free_root_page,https://syzkaller.appspot.com/bug?extid=dc308fcfcd53f987de73,mmu_free_root_page,arch/x86/kvm/mmu,arch
2,general protection fault in dev_map_enqueue,https://syzkaller.appspot.com/bug?extid=af9492708df9797198d6,dev_map_enqueue,kernel/bpf,kernel
3,KMSAN: uninit-value in ieee80211_rx_handlers,https://syzkaller.appspot.com/bug?extid=75af45a00cf13243ba39,ieee80211_rx_handlers,net/mac80211,net
4,WARNING in carl9170_usb_send_rx_irq_urb/usb_submit_urb,https://syzkaller.appspot.com/bug?extid=0ae4804973be759fa420,carl9170_usb_send_rx_irq_urb/usb_submit_urb,HELP
5,WARNING in ar5523_cmd/usb_submit_urb,https://syzkaller.appspot.com/bug?extid=1bc2c2afd44f820a669f,ar5523_cmd/usb_submit_urb,HELP
6,possible deadlock in swake_up_one,https://syzkaller.appspot.com/bug?extid=c1571e01da4f845b858f,swake_up_one,kernel/sched,kernel
7,possible deadlock in hrtimer_run_queues,https://syzkaller.appspot.com/bug?extid=f311e026553fee3459a0,hrtimer_run_queues,kernel/time,kernel
8,WARNING in sock_hash_delete_elem,https://syzkaller.appspot.com/bug?extid=1c04a1e4ae355870dc7a,sock_hash_delete_elem,HELP
9,possible deadlock in move_pages,https://syzkaller.appspot.com/bug?extid=49056626fe41e01f2ba7,move_pages,mm,mm
10,possible deadlock in __lock_task_sighand,https://syzkaller.appspot.com/bug?extid=34267210261c2cbba2da,__lock_task_sighand,kernel,kernel
11,WARNING in sock_map_unref,https://syzkaller.appspot.com/bug?extid=4b9597d9c853a4230301,sock_map_unref,net/core,net
12,KMSAN: uninit-value in ipvlan_queue_xmit,https://syzkaller.appspot.com/bug?extid=42a0dc856239de4de60e,ipvlan_queue_xmit,drivers/net/ipvlan,drivers
13,WARNING in gre_tap_xmit,https://syzkaller.appspot.com/bug?extid=c298c9f0e46a3c86332b,gre_tap_xmit,include/linux,include
14,possible deadlock in ahci_single_level_irq_intr,https://syzkaller.appspot.com/bug?extid=d4066896495db380182e,ahci_single_level_irq_intr,drivers/ata,drivers
15,UBSAN: array-index-out-of-bounds in nilfs_add_link,https://syzkaller.appspot.com/bug?extid=2e22057de05b9f3b30d8,nilfs_add_link,fs/nilfs2,fs
16,possible deadlock in try_to_wake_up,https://syzkaller.appspot.com/bug?extid=21f93e66c95001d6f61a,try_to_wake_up,kernel/sched,kernel
17,KMSAN: uninit-value in nci_ntf_packet,https://syzkaller.appspot.com/bug?extid=29b5ca705d2e0f4a44d2,nci_ntf_packet,net/nfc/nci,net
