KASAN: stack-out-of-bounds Write in __nla_validate_parse,https://syzkaller.appspot.com/bug?id=c8dd3b254fe77feaac61c01bd1de7e1b9a876703
Repository: linux
Arch: amd64
Finding: 2023-07-21 - d192f5382581d972c4ae1b4d72e0b59b34cadeb9
Guilty:  2023-06-12 - 7cfffd5fed3e385010583840402f0bf66c4ed147
No Duplicates
Single Proc Allocation
VMs:8
CPUs:2
Procs:16
Max time:30
Max attempts:3
Testing the finding commit.

2024-06-07 16:26:24
Session:   1
Template:  2023-07-21 - 27cbe77f4f2a8de98c3d540ef77796263555fe6b
Syzkaller: 2023-07-21 - 27cbe77f4f2a8de98c3d540ef77796263555fe6b
Kernel:    2023-07-21 - d192f5382581d972c4ae1b4d72e0b59b34cadeb9
Compiler:  gcc-10.2.1-20210110
Attempt 1:
    Time  Bug Name
       2  possible deadlock in raw_bind
       2  possible deadlock in raw_bind
       2  possible deadlock in raw_release
       2  possible deadlock in raw_release
       2  possible deadlock in raw_release
       2  possible deadlock in raw_release
       3  possible deadlock in raw_bind
       3  possible deadlock in raw_release
       3  possible deadlock in raw_release
       3  possible deadlock in raw_release
       3  possible deadlock in raw_release
       4  possible deadlock in raw_bind
       4  possible deadlock in raw_bind
       4  possible deadlock in raw_release
       5  possible deadlock in raw_bind
       5  possible deadlock in raw_bind
       5  possible deadlock in raw_bind
       5  possible deadlock in raw_release
       6  possible deadlock in raw_bind
       7  possible deadlock in raw_bind
       7  possible deadlock in raw_bind
       7  possible deadlock in raw_bind
       7  possible deadlock in raw_bind
       8  possible deadlock in raw_bind
       8  possible deadlock in raw_bind
       8  possible deadlock in raw_bind
       8  possible deadlock in raw_release
       9  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      11  possible deadlock in raw_bind
      11  possible deadlock in raw_bind
      11  possible deadlock in raw_release
      11  possible deadlock in raw_release
      12  possible deadlock in raw_bind
      12  possible deadlock in raw_bind
      12  possible deadlock in raw_bind
      13  possible deadlock in raw_bind
      13  possible deadlock in raw_bind
      14  possible deadlock in raw_bind
      14  possible deadlock in raw_bind
      15  possible deadlock in raw_bind
      16  possible deadlock in raw_bind
      16  possible deadlock in raw_bind
      16  possible deadlock in raw_bind
      16  possible deadlock in raw_release
      18  possible deadlock in raw_bind
      18  possible deadlock in raw_bind
      18  possible deadlock in raw_release
      18  possible deadlock in raw_release
      19  possible deadlock in raw_release
      20  possible deadlock in raw_bind
      20  possible deadlock in raw_bind
      20  possible deadlock in raw_bind
      21  possible deadlock in raw_bind
      22  possible deadlock in raw_bind
      22  possible deadlock in raw_bind
      22  possible deadlock in raw_release
      23  possible deadlock in raw_bind
      23  possible deadlock in raw_bind
      23  possible deadlock in raw_release
      24  possible deadlock in raw_bind
      25  possible deadlock in raw_bind
      25  possible deadlock in raw_bind
      25  possible deadlock in raw_bind
      25  possible deadlock in raw_bind
      26  possible deadlock in raw_bind
      26  possible deadlock in raw_bind
      26  possible deadlock in raw_bind
      26  possible deadlock in raw_bind
      27  possible deadlock in raw_bind
      27  possible deadlock in raw_bind
      27  possible deadlock in raw_bind
      27  possible deadlock in raw_release
      28  possible deadlock in raw_bind
      28  possible deadlock in raw_bind
      28  possible deadlock in raw_bind
      29  possible deadlock in raw_bind
      29  possible deadlock in raw_bind
      30  possible deadlock in raw_bind
      30  possible deadlock in raw_bind
      30  possible deadlock in raw_bind
Attempt 2:
    Time  Bug Name
       2  possible deadlock in raw_bind
       2  possible deadlock in raw_release
       2  possible deadlock in raw_release
       2  possible deadlock in raw_release
       3  possible deadlock in raw_bind
       3  possible deadlock in raw_bind
       3  possible deadlock in raw_release
       3  possible deadlock in raw_release
       3  possible deadlock in raw_release
       4  possible deadlock in raw_bind
       4  possible deadlock in raw_bind
       4  possible deadlock in raw_bind
       4  possible deadlock in raw_release
       4  possible deadlock in raw_release
       4  possible deadlock in raw_release
       5  possible deadlock in raw_bind
       5  possible deadlock in raw_bind
       5  possible deadlock in raw_release
       5  possible deadlock in raw_release
       6  possible deadlock in raw_release
       6  possible deadlock in raw_release
       6  possible deadlock in raw_release
       7  possible deadlock in raw_bind
       7  possible deadlock in raw_bind
       7  possible deadlock in raw_release
       7  possible deadlock in raw_release
       8  possible deadlock in raw_bind
       8  possible deadlock in raw_bind
       9  possible deadlock in raw_bind
       9  possible deadlock in raw_release
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_bind
      10  possible deadlock in raw_release
      11  possible deadlock in raw_bind
      11  possible deadlock in raw_release
      12  possible deadlock in raw_bind
      12  possible deadlock in raw_bind
      12  possible deadlock in raw_bind
      13  possible deadlock in raw_bind
      13  possible deadlock in raw_bind
      13  possible deadlock in raw_release
      14  possible deadlock in raw_bind
      14  possible deadlock in raw_bind
      14  possible deadlock in raw_bind
      15  possible deadlock in raw_release
      15  possible deadlock in raw_release
