Bug Number,Is BiC Correct?,Better BiC?,Mk Result,New Result,Notes,,,,,
2,Confirmed,none,BiC,,,,,,Result,Count
3,Confirmed,none,BiC,,,,,,Incorrect - Mk,8
4,Confirmed,none,BiC,,,,,,Incorrect - Manual,5
5,Nothing New,none,NF,,,,,,Confirmed,78
6,Confirmed,none,BiC,,,,,,Nothing New,109
7,Confirmed,none,BiC,,,,,,,
61,Confirmed,none,BiC,,,,,,Changes,Count
62,Confirmed,none,BiC,,,,,,BiC -> Not BiC,4
65,Nothing New,none,Code Change,,,,,,Not BiC -> BiC,3
66,Confirmed,none,BiC,,,,,,No Change,193
67,Nothing New,none,NF,,,,,,,
69,Nothing New,none,NF,,,,,,,
72,Confirmed,none,BiC,,,,,,,
75,Nothing New,none,Flakey,,,,,,,
76,Nothing New,none,NF,,,,,,,
78,Confirmed,none,BiC,,,,,,,
79,Incorrect - Mk,1b1e0bc9947427ae58bbe7de0ce9cfd591b589b9,BiC,Not BiC,,,,,,
80,Confirmed,none,BiC,,,,,,,
82,Confirmed,none,BiC,,,,,,,
85,Nothing New,none,DNF,,,,,,,
86,Nothing New,none,Code Change,,,,,,,
87,Nothing New,none,NF,,,,,,,
88,Nothing New,none,NF,,,,,,,
89,Nothing New,none,NF,,,,,,,
90,Confirmed,none,BiC,,,,,,,
93,Confirmed,9dd732e0bdf538b1b76dc7c157e2b5e560ff30d3,BiC,,Reached one of the BiCs,,,,,
95,Nothing New,none,NF,,,,,,,
96,Nothing New,8edc813111001e9be3cce066d3d4091d2ef04a1d,Code Change,,"Mk reaches an arguable commit, but not definitive",,,,,
97,Nothing New,none,Code Change,,,,,,,
100,Nothing New,none,NF,,,,,,,
101,Confirmed,none,BiC,,,,,,,
103,Nothing New,none,Unstable,,,,,,,
104,Nothing New,none,Code Change,,,,,,,
108,Confirmed,none,BiC,,,,,,,
110,Confirmed,none,BiC,,,,,,,
111,Nothing New,none,Unstable,,,,,,,
112,Confirmed,none,BiC,,,,,,,
113,Nothing New,none,NF,,,,,,,
114,Nothing New,none,NF,,,,,,,
115,Incorrect - Mk,1ed1d592113959f00cc552c3b9f47ca2d157768f,BiC,BiC,,,,,,
116,Incorrect - Manual,3896d655f4d491c67d669a15f275a39f713410f8,BiC,Not BiC,SB misguided Devs. BiC adds assertion,,,,,
117,Confirmed,none,BiC,,,,,,,
119,Nothing New,none,Unstable,,,,,,,
122,Incorrect - Manual,9330986c03006ab1d33d243b7cfe598a7a3c1baa,Code Change,BiC,"BiC added Warning, Mk found a better BiC",,,,,
123,Confirmed,none,BiC,,,,,,,
127,Incorrect - Manual,5c808e641741ecd7a7d5e65e38f740378d7406fc,Blocking Bug,Not BiC,,,,,,
129,Nothing New,none,NF,,,,,,,
130,Confirmed,none,BiC,,,,,,,
131,Confirmed,none,BiC,,,,,,,
132,Confirmed,none,BiC,,,,,,,
133,Confirmed,none,BiC,,,,,,,
135,Confirmed,none,BiC,,,,,,,
136,Confirmed,none,BiC,,,,,,,
137,Confirmed,none,BiC,,,,,,,
138,Confirmed,none,BiC,,,,,,,
139,Confirmed,none,BiC,,,,,,,
142,Nothing New,none,Code Change,,,,,,,
144,Nothing New,none,Code Change,,,,,,,
148,Nothing New,none,Code Change,,,,,,,
150,Nothing New,none,NF,,,,,,,
152,Nothing New,none,NF,,,,,,,
154,Nothing New,none,NF,,,,,,,
155,Incorrect - Manual,9cae36a094e7e9d6e5fe8b6dcd4642138b3eb0c7,Code Change,BiC,Bug was re-added at this commit,,,,,
156,Nothing New,none,NF,,,,,,,
157,Nothing New,none,Flakey,,,,,,,
158,Nothing New,none,BiC,,,,,,,
159,Nothing New,none,BiC,,,,,,,
161,Confirmed,none,BiC,,,,,,,
162,Confirmed,none,BiC,,,,,,,
163,Nothing New,none,Code Change,,,,,,,
165,Nothing New,none,NF,,,,,,,
170,Confirmed,none,BiC,,,,,,,
171,Nothing New,none,NF,,,,,,,
172,Nothing New,none,NF,,,,,,,
173,Confirmed,none,BiC,,,,,,,
176,Nothing New,none,NF,,,,,,,
178,Nothing New,none,NF,,,,,,,
179,Nothing New,none,NF,,,,,,,
187,Nothing New,none,NF,,,,,,,
188,Nothing New,none,NF,,,,,,,
190,Nothing New,none,NF,,,,,,,
191,Nothing New,none,NF,,,,,,,
195,Incorrect - Mk,0bb788300990d3eb5582d3301a720f846c78925c,BiC,Not BiC,,,,,,
196,Incorrect - Mk,b5ea834dde6b6e7f75e51d5f66dac8cd7c97b5ef,BiC,BiC,,,,,,
197,Nothing New,none,Unstable,,,,,,,
199,Confirmed,none,BiC,,,,,,,
200,Nothing New,none,Flakey,,,,,,,
201,Confirmed,none,BiC,,,,,,,
207,Nothing New,none,NF,,,,,,,
208,Incorrect - Mk,4b5397dc24ab12afaac85be3d0863b7f6eb8b0f0,BiC,BiC,Mk reached OTR,,,,,
209,Nothing New,none,NF,,,,,,,
211,Nothing New,none,DNF,,,,,,,
213,Nothing New,none,NF,,,,,,,
221,Nothing New,none,NF,,,,,,,
224,Confirmed,none,BiC,,,,,,,
241,Nothing New,none,NF,,,,,,,
253,Nothing New,none,Code Change,,,,,,,
278,Confirmed,none,BiC,,,,,,,
715,Nothing New,none,Code Change,,,,,,,
740,Nothing New,none,Unstable,,,,,,,
746,Nothing New,none,Flakey,,,,,,,
747,Nothing New,none,Blocking Bug,,,,,,,
750,Confirmed,none,BiC,,,,,,,
753,Nothing New,none,DNF,,,,,,,
759,Confirmed,none,Blocking Bug,,,,,,,
761,Confirmed,none,BiC,,,,,,,
762,Confirmed,none,BiC,,,,,,,
763,Nothing New,none,NF,,,,,,,
766,Incorrect - Manual,dfed913e8b55a0c2c4906f1242fd38fd9a116e49,Code Change,BiC,,,,,,
768,Confirmed,none,BiC,,,,,,,
770,Confirmed,none,BiC,,,,,,,
773,Confirmed,none,BiC,,,,,,,
774,Confirmed,none,BiC,,,,,,,
775,Nothing New,none,NF,,,,,,,
777,Confirmed,none,BiC,,,,,,,
778,Confirmed,none,BiC,,,,,,,
780,Confirmed,none,BiC,,,,,,,
782,Nothing New,none,Code Change,,,,,,,
783,Nothing New,none,NF,,,,,,,
784,Confirmed,none,BiC,,,,,,,
787,Confirmed,none,BiC,,,,,,,
788,Nothing New,none,Code Change,,,,,,,
789,Confirmed,none,BiC,,,,,,,
792,Confirmed,none,BiC,,,,,,,
793,Confirmed,none,BiC,,,,,,,
794,Nothing New,none,NF,,,,,,,
795,Nothing New,none,NF,,,,,,,
798,Confirmed,none,BiC,,,,,,,
800,Confirmed,none,BiC,,,,,,,
804,Nothing New,none,NF,,,,,,,
805,Confirmed,none,BiC,,,,,,,
806,Confirmed,none,BiC,,,,,,,
807,Incorrect - Mk,1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,BiC,Not BiC,,,,,,
809,Confirmed,none,BiC,,,,,,,
812,Nothing New,none,Flakey,,,,,,,
814,Confirmed,none,BiC,,,,,,,
820,Confirmed,none,BiC,,,,,,,
821,Confirmed,none,BiC,,,,,,,
822,Nothing New,none,NF,,,,,,,
823,Nothing New,none,Code Change,,,,,,,
825,Nothing New,none,Code Change,,,,,,,
826,Nothing New,none,Blocking Bug,,,,,,,
827,Confirmed,none,BiC,,,,,,,
830,Confirmed,none,BiC,,,,,,,
832,Nothing New,none,DNF,,,,,,,
833,Nothing New,none,NF,,,,,,,
834,Nothing New,none,Code Change,,,,,,,
835,Confirmed,none,BiC,,,,,,,
836,Nothing New,none,DNF,,,,,,,
839,Confirmed,none,BiC,,,,,,,
841,Nothing New,none,NF,,,,,,,
842,Confirmed,none,BiC,,,,,,,
844,Nothing New,none,NF,,,,,,,
846,Confirmed,none,BiC,,,,,,,
847,Nothing New,none,DNF,,,,,,,
849,Nothing New,none,NF,,,,,,,
850,Confirmed,none,BiC,,,,,,,
853,Nothing New,none,NF,,,,,,,
854,Nothing New,none,Blocking Bug,,,,,,,
855,Nothing New,none,Flakey,,,,,,,
857,Nothing New,none,Blocking Bug,,,,,,,
859,Nothing New,none,Code Change,,,,,,,
860,Incorrect - Mk,7aa1e7d15f8a5b65f67bacb100d8fc033b21efa2,BiC,BiC,,,,,,
861,Nothing New,none,Code Change,,,,,,,
862,Confirmed,none,BiC,,,,,,,
863,Confirmed,none,BiC,,,,,,,
864,Confirmed,none,BiC,,,,,,,
865,Nothing New,none,Code Change,,,,,,,
867,Nothing New,none,Unstable,,,,,,,
870,Nothing New,none,NF,,,,,,,
872,Nothing New,none,NF,,,,,,,
874,Confirmed,none,BiC,,,,,,,
875,Nothing New,none,NF,,,,,,,
876,Incorrect - Mk,0b02f4c0d6d9e2c611dfbdd4317193e9dca740e6,BiC,BiC,,,,,,
879,Nothing New,none,NF,,,,,,,
880,Nothing New,none,Code Change,,,,,,,
882,Nothing New,none,Blocking Bug,,,,,,,
884,Nothing New,none,Unstable,,,,,,,
885,Confirmed,none,BiC,,,,,,,
886,Nothing New,none,Code Change,,,,,,,
888,Nothing New,none,DNF,,,,,,,
889,Nothing New,none,Code Change,,,,,,,
890,Confirmed,none,BiC,,,,,,,
891,Confirmed,none,BiC,,,,,,,
892,Confirmed,none,BiC,,,,,,,
895,Nothing New,none,Unstable,,,,,,,
896,Nothing New,none,Blocking Bug,,,,,,,
897,Nothing New,none,NF,,,,,,,
899,Nothing New,none,Code Change,,,,,,,
900,Nothing New,none,NF,,,,,,,
901,Nothing New,none,Flakey,,,,,,,
903,Nothing New,none,NF,,,,,,,
904,Nothing New,none,Code Change,,,,,,,
906,Nothing New,none,Unstable,,,,,,,
908,Nothing New,none,Unstable,,,,,,,
911,Confirmed,none,BiC,,,,,,,
913,Nothing New,none,Code Change,,,,,,,
914,Nothing New,none,Code Change,,,,,,,
915,Confirmed,none,BiC,,,,,,,
919,Nothing New,none,NF,,,,,,,
