Bugs,,,,,Can Dedup?,Notes
4,122,,,,no,"two different crash sites, very different reproducers (could have improved)"
BiC,Code Change,,,,,
130,131,132,,,partial,"can detect 131 & 132, each is a different crash site. 131 & 2 are similar enough, 130 is very different site and syscalls."
BiC,BiC,BiC,,,,
750,762,,,,no,"need to try dynamically, otherwise no"
BiC,BiC,,,,,
88,89,,,,no,"0.7 similarity, none repro'd anyways"
NF,NF,,,,,
7,209,,,,no,very different crashes (site and type). (could have improved)
BiC,NF,,,,,
895,906,,,,yes,and did so experimentally. It noticably improved the result.
Unstable,Unstable,,,,,
850,853,,,,no,based on crash type and location. May not actually be duplicates? dev conversation in 853 is not related to patch (could be improved)
BiC,NF,,,,,
860,864,,,,no,Not duplicates? fix bisection appears to be incorrect on 860
BiC,BiC,,,,,
821,827,,,,no,"Appears to have different PoCs, stack trace is different, but hit the same warning"
BiC,BiC,,,,,
135,136,137,138,139,no,"But some manifestations appear in all logs, and I found a 6th manifestation"
BiC,BiC,BiC,BiC,BiC,,
158,159,,,,no,
BiC,BiC,,,,,
897,900,,,,no,"Several different manifestations. Neither of these are the most common, slightly different entry points/crash sites"
NF,NF,,,,,
798,807,,,,no,"Different PoCs lead to different crash sites, have 2 different root causes"
BiC,BiC,,,,,
792,806,,,,no,Different PoCs lead to different crash sites
BiC,BiC,,,,,
