general protection fault in __list_del_entry_valid,https://syzkaller.appspot.com/bug?id=d97ff96e5a38f12752dd53d7a83bfcbdea3fee1b
Repository: linux
Arch: amd64
Finding: 2017-08-20 - 14ccee78fc82f5512908f4424f541549a5705b89
Guilty:  2008-10-01 - 12a169e7d8f4b1c95252d8b04ed0f1033ed7cfe2
No Duplicates
VMs:4
CPUs:4
Procs:24
Max time:30
Max attempts:3
Testing the finding commit.

2023-05-09 07:07:05
Session:   1
Template:  2017-08-19 - f238fbd42d592056c2fd8434c7625945b00b2059
Syzkaller: 2017-08-19 - f238fbd42d592056c2fd8434c7625945b00b2059
Kernel:    2017-08-20 - 14ccee78fc82f5512908f4424f541549a5705b89
Compiler:  gcc-7.1.1-20170620
Attempt 1:
    Time  Bug Name
       1  lost connection to test machine
       1  lost connection to test machine
       1  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
      12  lost connection to test machine
      12  lost connection to test machine
      12  lost connection to test machine
      12  lost connection to test machine
      12  lost connection to test machine
      13  lost connection to test machine
      13  lost connection to test machine
      13  lost connection to test machine
      13  lost connection to test machine
      13  lost connection to test machine
      14  lost connection to test machine
      14  lost connection to test machine
      14  lost connection to test machine
      14  lost connection to test machine
      14  lost connection to test machine
      14  lost connection to test machine
      15  lost connection to test machine
      15  lost connection to test machine
      15  lost connection to test machine
      15  lost connection to test machine
      15  lost connection to test machine
      16  lost connection to test machine
      16  lost connection to test machine
      16  lost connection to test machine
      16  lost connection to test machine
      16  lost connection to test machine
      17  lost connection to test machine
      17  lost connection to test machine
      17  lost connection to test machine
      17  lost connection to test machine
      17  lost connection to test machine
      17  lost connection to test machine
      18  lost connection to test machine
      18  lost connection to test machine
      18  lost connection to test machine
      18  lost connection to test machine
      18  lost connection to test machine
      18  lost connection to test machine
      19  lost connection to test machine
      19  lost connection to test machine
      19  lost connection to test machine
      19  lost connection to test machine
      19  lost connection to test machine
      19  lost connection to test machine
      20  lost connection to test machine
Attempt 2:
    Time  Bug Name
       1  lost connection to test machine
       1  lost connection to test machine
       1  lost connection to test machine
       1  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       2  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       3  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       4  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       5  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       6  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       7  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       8  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
       9  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      10  lost connection to test machine
      11  lost connection to test machine
      11  lost connection to test machine
