,Overall Semantic Result,,,,,,,,,,,,,
Bug Number,SB,Mk 1p,Mk nm,Mk,Exclude,Notes,,,,SB,Mk 1p,Mk nm,Mk,
2,BiC,NF,NF,BiC,0,,,,BiC,53,55,62,87,
3,BiC,BiC,BiC,BiC,0,,,,Blocking Bug,0,8,10,8,
4,BiC,BiC,BiC,BiC,0,,,,Code Change,11,21,24,29,
5,NF,NF,NF,NF,1,,,,DNF,19,3,3,7,(Did Not Finish)
6,BiC,BiC,BiC,BiC,0,,,,False BiC,0,0,0,0,
7,BiC,BiC,BiC,BiC,0,,,,Flakey,4,5,6,7,
61,Unknown,BiC,BiC,BiC,0,SB traced to 6.1. Unknown reason.,,,NF,80,95,78,51,(Not Found)
62,NF,BiC,BiC,BiC,0,,,,Unknown,2,0,0,0,
65,DNF,Blocking Bug,Blocking Bug,Code Change,0,,,,Unstable,4,13,17,11,
66,BiC,BiC,BiC,BiC,0,,,,Wrong Bug,27,0,0,0,
67,NF,NF,NF,NF,1,,,,,,,,,
69,NF,NF,NF,NF,1,,,,,,,,,
72,DNF,Blocking Bug,Blocking Bug,BiC,0,BB was patched by the merge,,,,,,,,
75,BiC,Flakey,Flakey,Flakey,0,Here SB got very lucky. The bug is very flakey on 4.19,,,,,,,,
76,NF,NF,NF,NF,1,,,,Total,200,,,,
78,BiC,Unstable,Unstable,BiC,0,,,,Excluding,50,,,,
79,NF,Code Change,Code Change,Code Change,0,,,,Using,150,,,,
80,Wrong Bug,NF,NF,BiC,0,,,,Mk Success,58.00%,,,,
82,Wrong Bug,BiC,BiC,BiC,0,,,,SB Success,35.33%,35.33%,,,
85,DNF,DNF,DNF,DNF,0,,,,Mk/SB,164.15%,,,,
86,Code Change,Unstable,Unstable,Code Change,0,,,,,,,,,
87,NF,NF,NF,NF,1,,,,,,,,,
88,NF,NF,NF,NF,1,,,,,,,,,
89,NF,NF,NF,NF,1,,,,,,,,,
90,BiC,BiC,BiC,BiC,0,,,,,,,,,
93,BiC,BiC,BiC,BiC,0,,,,,,,,,
95,Wrong Bug,NF,NF,NF,0,"Meerkat is unable to reproduce, SB hardly reproduced it.",,,,,,,,
96,Wrong Bug,Code Change,Code Change,Code Change,0,,,,,,,,,
97,Code Change,Flakey,Flakey,Code Change,0,,,,,,,,,
100,NF,NF,NF,NF,1,,,,,,,,,
101,Wrong Bug,NF,NF,BiC,0,,,,,,,,,
103,Unstable,Unstable,Unstable,Unstable,0,,,,,,,,,
104,Code Change,Code Change,Code Change,Code Change,0,,,,,,,,,
108,BiC,BiC,BiC,BiC,0,,,,,,,,,
110,DNF,Code Change,Code Change,BiC,0,,,,,,,,,
111,Wrong Bug,Blocking Bug,Blocking Bug,Unstable,0,,,,,,,,,
112,BiC,BiC,BiC,BiC,0,,,,,,,,,
113,NF,NF,NF,NF,1,,,,,,,,,
114,NF,NF,NF,NF,1,,,,,,,,,
115,Code Change,Code Change,Code Change,BiC,0,,,,,,,,,
116,NF,NF,Code Change,Code Change,0,,,,,,,,,
117,NF,NF,NF,BiC,0,,,,,,,,,
119,DNF,Unstable,Unstable,Unstable,0,,,,,,,,,
122,NF,NF,Blocking Bug,BiC,0,commit added bpf bloom filter,,,,,,,,
123,Wrong Bug,NF,BiC,BiC,0,,,,,,,,,
127,Wrong Bug,Blocking Bug,Blocking Bug,Blocking Bug,0,,,,,,,,,
129,NF,NF,NF,NF,1,,,,,,,,,
130,BiC,BiC,BiC,BiC,0,,,,,,,,,
131,BiC,BiC,BiC,BiC,0,,,,,,,,,
132,BiC,BiC,BiC,BiC,0,,,,,,,,,
133,Wrong Bug,Code Change,Code Change,BiC,0,,,,,,,,,
135,BiC,BiC,BiC,BiC,0,,,,,,,,,
136,BiC,BiC,BiC,BiC,0,,,,,,,,,
137,NF,NF,Unstable,BiC,0,Could also be flakey,,,,,,,,
138,NF,NF,BiC,BiC,0,,,,,,,,,
139,BiC,BiC,BiC,BiC,0,,,,,,,,,
142,NF,NF,Flakey,Code Change,0,,,,,,,,,
144,BiC,Code Change,Code Change,Code Change,0,SB traced back a duplicate,,,,,,,,
148,Code Change,Code Change,Code Change,Code Change,0,All found the commit that added the warning,,,,,,,,
150,NF,NF,NF,NF,1,,,,,,,,,
152,NF,NF,NF,NF,1,,,,,,,,,
154,NF,NF,NF,NF,1,,,,,,,,,
155,NF,NF,NF,BiC,0,,,,,,,,,
156,NF,NF,NF,NF,1,,,,,,,,,
157,NF,NF,NF,Flakey,0,,,,,,,,,
158,NF,NF,NF,BiC,0,,,,,,,,,
159,BiC,Unstable,Unstable,BiC,0,,,,,,,,,
161,BiC,BiC,BiC,BiC,0,,,,,,,,,
162,DNF,BiC,BiC,BiC,0,,,,,,,,,
163,NF,NF,NF,Code Change,0,,,,,,,,,
