,SB,,Mk 1p,,Mk m1p,,Mk nm,,Mk,,,,,,,,,,,
Bug Number,Result,Runtime,Result,Runtime,Result,Runtime,Result,Runtime,Result,Runtime,Exclude,,Runtime,SB,Mk 1p,Mk m1p,Mk nm,Mk,,
2,BiC,4:19:55,NF,0:16:05,BiC,13:40:40,NF,0:16:05,BiC,13:40:40,0,,Overall Avg.,9:22:02,4:36:41,8:05:38,6:04:52,8:24:06,,12:00:00
3,BiC,4:13:36,BiC,5:59:48,BiC,7:39:56,BiC,6:11:33,BiC,14:24:32,0,,Overall Med.,5:47:00,4:08:00,6:07:31,5:34:35,6:27:16,,48:00:00
4,BiC,4:40:06,BiC,5:01:40,BiC,9:29:24,BiC,5:01:40,BiC,9:29:24,0,,Overall Std.,13:49:37,6:58:37,10:06:23,7:33:19,9:21:01,,
5,NF,0:10:25,NF,0:14:40,NF,0:52:53,NF,0:32:38,NF,1:12:38,1,,Cont. Avg.,14:39:09,8:26:42,11:24:17,9:29:55,10:46:59,,
6,BiC,3:38:50,BiC,4:39:57,BiC,9:38:37,BiC,4:39:57,BiC,9:38:37,0,,Cont. Med.,7:33:37,6:21:39,7:30:45,7:00:50,7:41:14,,
7,BiC,3:39:23,BiC,4:19:22,BiC,4:36:20,BiC,4:54:24,BiC,5:17:50,0,,Cont. Std.,15:38:47,7:52:02,10:46:19,7:57:42,9:44:40,,
61,Unknown,40:44:17,BiC,4:55:21,BiC,8:56:03,BiC,5:20:16,BiC,7:43:20,0,,Avg w/o T/O,8:22:45,7:16:54,9:07:03,8:31:40,8:56:54,,
62,NF,0:11:14,BiC,5:43:07,BiC,5:07:12,BiC,11:04:11,BiC,11:18:08,0,,Std. w/o T/O,6:20:51,3:59:12,5:48:22,5:08:04,5:14:43,,
65,DNF,48:00:00,Blocking Bug,5:31:24,Blocking Bug,12:05:09,Blocking Bug,5:31:24,Code Change,12:05:09,0,,% Under 12h,59.33%,64.00%,71.33%,69.33%,78.00%,,
66,BiC,8:01:09,BiC,8:33:35,BiC,7:30:41,BiC,16:04:54,BiC,8:26:02,0,,,,,,,,,
67,NF,0:22:31,NF,0:20:43,NF,1:00:43,NF,0:20:43,NF,1:00:43,1,,CPU Hours:,29975:03:28,14756:39:28,14374:48:03,19459:55:12,26885:12:16,,
69,NF,7:01:15,NF,0:09:58,NF,0:49:58,NF,0:09:58,NF,0:49:58,1,,Total:,90694:58:59,,,,,,
72,DNF,48:00:00,Blocking Bug,4:45:01,BiC,4:54:37,Blocking Bug,5:07:00,BiC,5:20:45,0,,,,,,,,,
75,BiC,3:13:32,Flakey,5:39:14,Flakey,11:57:13,Flakey,5:39:14,Flakey,9:00:27,0,,,,,,,,,
76,NF,7:09:57,NF,0:21:44,NF,1:08:44,NF,0:31:19,NF,1:11:19,1,,,,,,,,,
78,BiC,15:08:55,Unstable,6:37:22,Unstable,7:17:22,Unstable,6:37:22,BiC,7:42:24,0,,,,,,,,,
79,NF,0:12:44,Code Change,6:06:29,Code Change,13:35:01,Code Change,6:31:40,Code Change,12:25:22,0,,,,,,,,,
80,Wrong Bug,8:25:35,NF,0:20:05,BiC,6:39:38,NF,0:31:30,BiC,7:24:16,0,,,,,,,,,
82,Wrong Bug,7:24:34,BiC,5:34:09,BiC,5:30:42,BiC,5:34:09,BiC,5:30:42,0,,,,,,,,,
85,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,DNF,48:00:00,0,,,,,,,,,
86,Code Change,13:24:22,Unstable,5:31:25,Code Change,6:29:11,Unstable,5:31:25,Code Change,6:29:11,0,,,,,,,,,
87,NF,6:00:34,NF,0:22:14,NF,1:04:14,NF,2:18:15,NF,2:58:15,1,,,,,,,,,
88,NF,0:21:56,NF,0:27:10,NF,1:07:10,NF,0:27:10,NF,1:07:10,1,,,,,,,,,
89,NF,0:22:29,NF,0:19:58,NF,0:59:58,NF,0:19:58,NF,0:59:58,1,,,,,,,,,
90,BiC,4:15:36,BiC,5:34:18,BiC,4:42:57,BiC,5:54:05,BiC,4:06:44,0,,,,,,,,,
93,BiC,6:12:14,BiC,6:31:12,BiC,6:13:25,BiC,7:14:31,BiC,6:36:20,0,,,,,,,,,
95,Wrong Bug,3:30:30,NF,0:15:25,NF,0:58:06,NF,1:03:16,NF,1:43:16,0,,,,,,,,,
96,Wrong Bug,4:32:45,Code Change,5:35:10,DNF,48:00:00,Code Change,6:46:06,Code Change,6:16:02,0,,,,,,,,,
97,Code Change,7:26:23,Flakey,7:39:46,Code Change,16:40:53,Flakey,7:39:46,Code Change,16:40:53,0,,,,,,,,,
100,NF,0:23:31,NF,0:23:45,NF,1:07:35,NF,2:52:04,NF,3:32:04,1,,,,,,,,,
101,Wrong Bug,6:42:53,NF,0:17:52,BiC,6:35:44,NF,0:40:03,BiC,7:22:26,0,,,,,,,,,
103,Unstable,8:09:13,Unstable,5:28:52,Unstable,6:12:36,Unstable,5:47:22,Unstable,6:27:22,0,,,,,,,,,
104,Code Change,5:30:42,Code Change,6:30:07,Code Change,5:47:44,Code Change,17:46:38,Code Change,8:10:19,0,,,,,,,,,
108,BiC,8:06:55,BiC,5:24:56,BiC,31:28:14,BiC,5:24:56,BiC,31:28:14,0,,,,,,,,,
110,DNF,48:00:00,Code Change,4:31:26,BiC,4:46:22,Code Change,4:38:01,BiC,4:52:34,0,,,,,,,,,
111,Wrong Bug,7:35:07,Blocking Bug,5:58:52,Unstable,5:57:45,Blocking Bug,5:58:52,Unstable,5:57:45,0,,,,,,,,,
112,BiC,7:09:09,BiC,8:51:17,BiC,6:14:26,BiC,8:51:17,BiC,6:14:26,0,,,,,,,,,
113,NF,0:17:49,NF,0:21:58,NF,1:01:58,NF,0:21:58,NF,1:01:58,1,,,,,,,,,
114,NF,0:20:56,NF,0:22:21,NF,1:02:21,NF,0:22:21,NF,1:02:21,1,,,,,,,,,
115,Code Change,4:03:13,Code Change,5:24:39,Code Change,5:19:23,Code Change,5:48:09,BiC,8:36:23,0,,,,,,,,,
116,NF,0:21:40,NF,0:25:01,NF,1:09:56,Code Change,6:46:21,Code Change,5:48:05,0,,,,,,,,,
117,NF,0:24:50,NF,0:17:36,BiC,8:07:02,NF,0:29:30,BiC,12:07:43,0,,,,,,,,,
119,DNF,48:00:00,Unstable,6:16:45,Unstable,6:16:45,Unstable,6:37:04,Unstable,13:44:59,0,,,,,,,,,
122,NF,0:16:56,NF,0:23:47,NF,0:23:47,Blocking Bug,6:35:08,BiC,6:26:56,0,,,,,,,,,
123,Wrong Bug,12:36:27,NF,0:19:00,NF,0:19:00,BiC,6:55:33,BiC,7:53:21,0,,,,,,,,,
127,Wrong Bug,10:52:11,Blocking Bug,3:12:59,Blocking Bug,3:12:59,Blocking Bug,3:19:34,Blocking Bug,3:59:34,0,,,,,,,,,
129,NF,0:18:14,NF,0:26:13,NF,1:06:13,NF,0:26:13,NF,1:06:13,1,,,,,,,,,
130,BiC,4:44:51,BiC,5:15:20,BiC,6:33:21,BiC,5:15:20,BiC,6:33:21,0,,,,,,,,,
131,BiC,10:30:16,BiC,5:10:39,BiC,5:10:39,BiC,5:21:58,BiC,7:02:56,0,,,,,,,,,
132,BiC,6:21:39,BiC,6:57:52,BiC,9:48:30,BiC,7:40:09,BiC,5:53:59,0,,,,,,,,,
133,Wrong Bug,12:40:16,Code Change,6:21:39,BiC,5:57:17,Code Change,6:45:59,BiC,6:01:13,0,,,,,,,,,
135,BiC,9:29:13,BiC,6:20:08,BiC,8:38:28,BiC,6:20:08,BiC,8:38:28,0,,,,,,,,,
136,BiC,8:25:25,BiC,25:42:08,BiC,9:40:19,BiC,32:14:26,BiC,4:55:28,0,,,,,,,,,
137,NF,0:20:27,NF,0:24:00,BiC,20:19:33,Unstable,8:11:55,BiC,10:23:19,0,,,,,,,,,
138,NF,0:37:34,NF,0:37:01,NF,1:14:05,BiC,9:09:07,BiC,5:03:20,0,,,,,,,,,
139,BiC,7:40:38,BiC,6:28:20,BiC,7:36:15,BiC,6:28:20,BiC,7:36:15,0,,,,,,,,,
142,NF,0:28:29,NF,0:23:45,Flakey,14:26:21,Flakey,9:05:46,Code Change,13:53:10,0,,,,,,,,,
144,BiC,3:17:47,Code Change,4:53:44,Code Change,6:59:33,Code Change,4:53:44,Code Change,6:59:33,0,,,,,,,,,
148,Code Change,5:38:37,Code Change,4:41:14,Code Change,5:14:53,Code Change,5:57:06,Code Change,37:13:12,0,,,,,,,,,
150,NF,0:17:03,NF,0:28:29,NF,1:12:44,NF,1:42:21,NF,2:22:21,1,,,,,,,,,
152,NF,0:24:59,NF,0:27:43,NF,1:00:43,NF,0:50:17,NF,1:30:17,1,,,,,,,,,
154,NF,0:25:32,NF,0:31:26,NF,1:14:39,NF,0:58:38,NF,1:38:38,1,,,,,,,,,
155,NF,0:27:17,NF,0:23:26,BiC,5:57:15,NF,1:59:08,BiC,6:14:45,0,,,,,,,,,
156,NF,0:27:15,NF,0:25:01,NF,1:05:01,NF,0:25:01,NF,1:05:01,1,,,,,,,,,
157,NF,0:26:28,NF,0:23:02,Flakey,6:15:08,NF,0:37:05,Flakey,5:57:01,0,,,,,,,,,
158,NF,0:18:48,NF,0:20:38,BiC,12:18:38,NF,0:20:38,BiC,12:18:38,0,,,,,,,,,
159,BiC,3:48:20,Unstable,0:29:43,Unstable,4:05:08,Unstable,10:13:20,BiC,3:42:51,0,,,,,,,,,
161,BiC,5:09:33,BiC,3:56:37,BiC,4:39:58,BiC,4:18:19,BiC,4:58:19,0,,,,,,,,,
162,DNF,48:00:00,BiC,7:04:40,BiC,7:09:41,BiC,7:04:40,BiC,7:09:41,0,,,,,,,,,
163,NF,0:20:48,NF,0:20:38,Code Change,13:05:37,NF,0:20:38,Code Change,13:05:37,0,,,,,,,,,
165,NF,0:25:01,NF,0:19:33,NF,1:03:45,NF,1:23:53,NF,2:03:53,1,,,,,,,,,
170,NF,0:23:32,NF,0:21:20,NF,1:04:43,BiC,7:35:07,BiC,4:42:29,0,,,,,,,,,
